2021-05-05 09:33:45,351 | 3804 | api.observer, update, 40 | DEBUG | unpack message : 5
2021-05-05 09:33:45,352 | 3804 | proxy.observable, notify_observers, 72 | DEBUG | notify data to observer: b'\x04\x00\x00\x10\x00\x00\x009\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,356 | 3804 | api.observer, update, 35 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x009\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,358 | 3804 | api.observer, update, 40 | DEBUG | unpack message : 0
2021-05-05 09:33:45,359 | 3804 | proxy.observable, notify_observers, 72 | DEBUG | notify data to observer: b'\x04\x00\x00\x10\x00\x00\x00:\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,361 | 3804 | api.observer, update, 35 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00:\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,386 | 3804 | api.observer, update, 40 | DEBUG | unpack message : 0
2021-05-05 09:33:45,390 | 3804 | proxy.proxy, get_switch_data, 56 | DEBUG | DataManager get data from switch b'\x04\x00\x00\x10\x00\x00\x009\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,399 | 3804 | proxy.proxy, send_data, 291 | DEBUG | ready to send data to controller: b'\x04\x00\x00\x10\x00\x00\x009\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,406 | 3804 | proxy.proxy, send_data, 294 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x009\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,407 | 3804 | proxy.proxy, get_switch_data, 56 | DEBUG | DataManager get data from switch b'\x04\x00\x00\x10\x00\x00\x00:\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,407 | 3804 | proxy.proxy, send_data, 291 | DEBUG | ready to send data to controller: b'\x04\x00\x00\x10\x00\x00\x00:\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,410 | 3804 | proxy.proxy, send_data, 294 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00:\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:45,416 | 3804 | proxy.proxy, send_data, 196 | INFO | Connection reset: Connection lost
2021-05-05 09:33:53,286 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:53,286 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:53,287 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:53,288 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:53,289 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:53,289 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:53,290 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:53,290 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:53,291 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:34:01,300 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41552) is connected
2021-05-05 09:34:01,302 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:34:01,304 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41554) is connected
2021-05-05 09:34:01,305 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:34:01,306 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41556) is connected
2021-05-05 09:34:01,307 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:34:01,309 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00;\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,310 | 3804 | proxy.proxy, set_switch_data, 47 | DEBUG | DataManager set data from switch b'\x04\x00\x00\x10\x00\x00\x00;\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,310 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:34:01,311 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00<\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,314 | 3804 | proxy.proxy, set_switch_data, 47 | DEBUG | DataManager set data from switch b'\x04\x00\x00\x10\x00\x00\x00<\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,315 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:34:01,316 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00=\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,316 | 3804 | proxy.proxy, set_switch_data, 47 | DEBUG | DataManager set data from switch b'\x04\x00\x00\x10\x00\x00\x00=\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,317 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:34:01,317 | 3804 | proxy.proxy, get_switch_data, 56 | DEBUG | DataManager get data from switch b'\x04\x00\x00\x10\x00\x00\x00;\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,318 | 3804 | proxy.proxy, send_data, 291 | DEBUG | ready to send data to controller: b'\x04\x00\x00\x10\x00\x00\x00;\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,319 | 3804 | proxy.proxy, send_data, 294 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00;\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,319 | 3804 | proxy.proxy, get_switch_data, 56 | DEBUG | DataManager get data from switch b'\x04\x00\x00\x10\x00\x00\x00<\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,319 | 3804 | proxy.proxy, send_data, 291 | DEBUG | ready to send data to controller: b'\x04\x00\x00\x10\x00\x00\x00<\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,320 | 3804 | proxy.proxy, send_data, 294 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00<\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,321 | 3804 | proxy.proxy, get_switch_data, 56 | DEBUG | DataManager get data from switch b'\x04\x00\x00\x10\x00\x00\x00=\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:34:01,322 | 3804 | proxy.proxy, send_data, 291 | DEBUG | ready to send data to controller: b'\x04\x00\x00\x10\x00\x00\x00=\x00\x01\x00\x08\x00\x00\x00\x10'
